id,level,parent_area_id,name,column_name
1,1,,1,
2,1,,2,
3,1,,3,
4,1,,4,
5,1,,5,
6,1,,6,
7,1,,7,
8,2,1,1,n1_1
9,2,1,2,n1_2
10,2,1,3,n1_3
11,2,1,4,n1_4
12,2,1,5,n1_5
13,2,1,6,n1_6
14,2,2,1,n2_1
15,2,2,2,n2_2
16,2,2,3,n2_3
17,2,2,4,n2_4
18,2,2,5,n2_5
19,2,3,1,n3_1
20,2,3,2,n3_2
21,2,3,3,n3_3
22,2,3,4,n3_4
23,2,3,5,n3_5
24,2,4,1,n4_1
25,2,4,2,n4_2
26,2,4,3,n4_3
27,2,4,4,n4_4
28,2,4,5,n4_5
29,2,5,1,n5_1
30,2,5,2,n5_2
31,2,5,3,n5_3
32,2,5,4,n5_4
33,2,5,5,n5_5
34,2,6,1,n6_1
35,2,6,2,n6_2
36,2,6,3,n6_3
37,2,6,4,n6_4
38,2,6,5,n6_5
39,2,7,1,n7_1
40,2,7,2,
41,2,7,3,
42,3,40,2-1,n7_2_1
43,3,40,2-2,n7_2_2
44,3,41,3-1,n7_3_1
45,3,41,3-2,n7_3_2